0,2310450
1,671549
2,642039
3,577767
4,534097
5,491715
6,462204
7,433721
8,413718
9,388498
10,365370
11,341911
12,316829
13,289122
14,263539
15,242212
16,221228
17,200969
18,181824
19,163830
20,149639
21,135494
22,121709
23,107085
24,93544
25,80515
26,68383
27,57795
28,49376
29,41772
30,35052
31,29440
32,24486
33,20991
34,17321
35,14477
36,11967
37,10209
38,8106
39,6607
40,5447
41,4469
42,3578
43,2781
44,2165
45,1630
46,1208
47,1004
48,690
49,561
50,511
51,367
52,257
53,185
54,166
55,108
56,84
57,52
58,48
59,39
60,25
61,18
62,9
63,7
64,4
65,0
66,1
67,1
68,0
69,0
70,0
71,1
72,0
73,0
74,0
75,1
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
