year,sum
1990,18107
1991,21965
1992,29463
1993,40053
1994,53885
1995,66691
1996,84219
1997,100676
1998,118326
1999,132648
2000,140113
2001,147356
2002,165644
2003,185547
2004,194335
2005,205352
2006,211312
2007,303548
2008,481039
2009,256730
2010,272349
2011,270462
2012,301969
2013,756383
2014,626384
2015,1035158
2016,1519243

