0,449135
1,63697
2,48228
3,38509
4,31287
5,25674
6,22399
7,18741
8,16194
9,14109
10,12564
11,11108
12,9888
13,8964
14,8009
15,7455
16,6701
17,6068
18,5656
19,4966
20,4154
21,3570
22,2881
23,2273
24,1578
25,723
26,114
27,7
28,4
29,1
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
