ID,source_paper,ref_paper
47,14588,110965554
48,14588,1975199732
49,14588,1996651439
50,14588,2051179313
51,14588,2056794319
52,14588,2138924815
53,14588,2147042843
152,57710,2010559308
153,57710,2049078451
154,57710,2061091970
155,57710,2137621485
156,57710,2140446904
157,57710,2147483647
158,57710,2147483647
206,72156,1996748509
207,72156,2007042500
208,72156,2015029893
209,72156,2021260239
210,72156,2031678850
211,72156,2075740393
212,72156,2086305648
213,72156,2094152319
214,72156,2147483647
216,73701,1602253191
217,73701,2109439796
218,73701,2136986226
219,73701,2147483647
220,73701,2147483647
221,73701,2147483647
335,129917,1552489964
336,129917,1581180757
337,129917,1967108677
338,129917,1973088968
339,129917,2080666091
340,129917,2126134216
402,151299,2012407846
403,151299,2088542735
404,151299,2109048495
405,151299,2143028405
406,151299,2147483647
407,151299,2147483647
408,151299,2147483647
819,320840,1987901102
820,320840,1990482858
821,320840,2032243141
822,320840,2041464890
823,320840,2062125344
824,320840,2082150979
825,320840,2115063249
826,320840,2127820302
968,384213,47188756
969,384213,139933206
970,384213,1491696986
971,384213,1979279489
972,384213,1982621923
973,384213,2039049291
1045,416449,1990764194
1046,416449,2059580075
1047,416449,2074580902
1048,416449,2082088615
1049,416449,2130150056
1050,416449,2144562452
1051,416449,2147483647
1062,420648,587795852
1063,420648,1963873145
1064,420648,1978013200
1065,420648,1998035293
1066,420648,2032135473
1067,420648,2071494793
1068,420648,2091791319
1069,420648,2122522617
1070,420648,2131990331
1123,433899,1960145951
1124,433899,2023968892
1125,433899,2047426612
1126,433899,2050980408
1127,433899,2052830276
1128,433899,2118784566
1264,509335,1915024323
1265,509335,1970176101
1266,509335,1996609303
1267,509335,2046672246
1268,509335,2072688582
1269,509335,2138292740
1273,511872,2027139827
1274,511872,2047898183
1275,511872,2048565548
1276,511872,2102304447
1277,511872,2105240940
1278,511872,2145839720
1389,559900,167310184
1390,559900,1829223349
1391,559900,1969905745
1392,559900,1983113602
1393,559900,2004431208
1394,559900,2032385615
1395,559900,2082563010
1396,559900,2133485632
1420,571797,2002941039
1421,571797,2004836362
1422,571797,2025762694
1423,571797,2031282432
1424,571797,2088835031
1425,571797,2131925211
1634,669769,1965034296
1635,669769,1986648636
1636,669769,2002304568
1637,669769,2092832320
1638,669769,2099658507
1639,669769,2147483647
1640,669769,2147483647
1956,811940,98029098
1957,811940,2044242703
1958,811940,2051567903
1959,811940,2056146317
1960,811940,2067839206
1961,811940,2073643808
2059,858403,1969682160
2060,858403,1986008480
2061,858403,2026129558
2062,858403,2028604156
2063,858403,2058406520
2064,858403,2094525016
2166,901869,1974083334
2167,901869,2005630840
2168,901869,2021048036
2169,901869,2026463795
2170,901869,2056004773
2171,901869,2086684607
2172,901869,2147483647
2173,901978,1517748724
2174,901978,1973017365
2175,901978,2019264784
2176,901978,2060839601
2177,901978,2108075096
2178,901978,2147483647
2332,956256,2027380708
2333,956256,2041091843
2334,956256,2093404759
2335,956256,2123617671
2336,956256,2134941671
2337,956256,2147483647
2412,985605,192402693
2413,985605,1973418567
2414,985605,1994761680
2415,985605,1999275474
2416,985605,2044466245
2417,985605,2107022932
2418,985605,2115490229
2419,985605,2147483647
2420,985605,2147483647
2435,992371,1974563878
2436,992371,2004963786
2437,992371,2088238100
2438,992371,2113918265
2439,992371,2115021010
2440,992371,2147483647
2442,995572,1934365823
2443,995572,1972350105
2444,995572,2048063313
2445,995572,2113867108
2446,995572,2141980994
2447,995572,2147483647
2550,1039233,1979118181
2551,1039233,1986016007
2552,1039233,2000195112
2553,1039233,2023037439
2554,1039233,2027277387
2555,1039233,2032580756
2556,1039233,2054047059
2557,1039233,2057968033
2558,1039233,2083172906
2559,1039233,2091943377
2568,1041901,2018615554
2569,1041901,2026598007
2570,1041901,2046853706
2571,1041901,2065485112
2572,1041901,2074286847
2573,1041901,2147483647
2590,1058029,1668169777
2591,1058029,2004861964
2592,1058029,2052928367
2593,1058029,2079304606
2594,1058029,2083419734
2595,1058029,2111724463
2596,1058029,2115399472
2641,1073416,2009942691
2642,1073416,2018178464
2643,1073416,2020588603
2644,1073416,2070465295
2645,1073416,2075398445
2646,1073416,2094058302
2656,1078025,1969604866
2657,1078025,2002138998
2658,1078025,2028662720
2659,1078025,2090214829
2660,1078025,2118745447
2661,1078025,2120140654
2677,1085307,1999997293
2678,1085307,2001169378
2679,1085307,2025391358
2680,1085307,2091791088
2681,1085307,2129790170
2682,1085307,2144866306
2689,1088166,1964091691
2690,1088166,1964719993
2691,1088166,1967882515
2692,1088166,1968877074
2693,1088166,1971396436
2694,1088166,1972763980
2695,1088166,1987948630
2696,1088166,2011896510
2697,1088166,2026562903
2698,1088166,2044052218
2699,1088166,2077490693
2700,1088166,2079371622
2701,1088166,2110257181
2702,1088166,2123551753
2703,1088166,2125481927
2704,1088166,2127209361
2705,1088166,2138319716
2706,1088166,2147483647
2707,1088166,2147483647
2708,1088166,2147483647
2982,1227759,2024165650
2983,1227759,2036305620
2984,1227759,2063369894
2985,1227759,2069532829
2986,1227759,2081487824
2987,1227759,2147483647
3000,1230365,1647075334
3001,1230365,1975430379
3002,1230365,2018600816
3003,1230365,2027279590
3004,1230365,2048839604
3005,1230365,2057442389
3006,1230365,2072647906
3007,1230365,2093340842
3022,1237416,1515725948
3023,1237416,1845860766
3024,1237416,2008131830
3025,1237416,2027861543
3026,1237416,2065022798
3027,1237416,2125823232
3028,1237416,2147483647
3066,1257703,1566540765
3067,1257703,1980392977
3068,1257703,1986704457
3069,1257703,1997961043
3070,1257703,2064693934
3071,1257703,2102544726
3072,1257703,2147483647
3073,1257703,2147483647
3084,1264224,1979808630
3085,1264224,1992596259
3086,1264224,1995799480
3087,1264224,2050271537
3088,1264224,2076464916
3089,1264224,2122817080
3090,1264224,2147043229
3092,1265223,1988587478
3093,1265223,1988613013
3094,1265223,2011193034
3095,1265223,2044643509
3096,1265223,2097472585
3097,1265223,2105501493
3123,1276430,1966927202
3124,1276430,1974719515
3125,1276430,1990120674
3126,1276430,2049130601
3127,1276430,2074549465
3128,1276430,2077415351
3129,1276430,2079480602
3130,1276430,2115830695
3131,1276430,2140439371
3132,1276430,2143859801
3152,1284489,1659625814
3153,1284489,1979637191
3154,1284489,2019788328
3155,1284489,2023746082
3156,1284489,2028271667
3157,1284489,2070526549
3216,1312313,1534702329
3217,1312313,2006950127
3218,1312313,2041383103
3219,1312313,2059731938
3220,1312313,2063008992
3221,1312313,2147483647
3247,1322712,1606858750
3248,1322712,2032894335
3249,1322712,2076092305
3250,1322712,2121825153
3251,1322712,2133578048
3252,1322712,2140305358
3320,1352015,2063597830
3321,1352015,2076071031
3322,1352015,2089845422
3323,1352015,2122910156
3324,1352015,2134058721
3325,1352015,2147483647
3326,1352015,2147483647
3353,1361687,1979398789
3354,1361687,1999381299
3355,1361687,2017686898
3356,1361687,2027188728
3357,1361687,2051515343
3358,1361687,2056385754
3359,1361687,2056619772
3360,1361687,2076803638
3361,1361687,2088126180
3362,1361687,2105589728
3363,1361687,2147483647
3364,1361687,2147483647
3720,1523236,202916737
3721,1523236,1576084985
3722,1523236,1607824254
3723,1523236,1709689368
3724,1523236,1965873469
3725,1523236,1986288134
3726,1523236,2017855692
3727,1523236,2044216711
3728,1523236,2079357168
3729,1523236,2085312229
3730,1523236,2134310663
3731,1523236,2135212275
3732,1523236,2147483647
