0,0
1,418298
2,370692
3,313833
4,274094
5,237918
6,210907
7,186207
8,167047
9,148359
10,132690
11,117966
12,104275
13,92271
14,81175
15,72273
16,64230
17,57012
18,50532
19,45104
20,40086
21,35570
22,31458
23,27684
24,24017
25,20745
26,17830
27,15482
28,13224
29,11471
30,9844
31,8423
32,7075
33,6085
34,5181
35,4345
36,3738
37,3212
38,2658
39,2248
40,1945
41,1572
42,1216
43,1029
44,799
45,608
46,504
47,371
48,296
49,225
50,190
51,154
52,117
53,92
54,84
55,51
56,45
57,26
58,19
59,17
60,15
61,10
62,4
63,6
64,3
65,0
66,1
67,1
68,0
69,0
70,0
71,1
72,0
73,0
74,0
75,1
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
