0,1058422
1,129066
2,108612
3,86367
4,73140
5,61008
6,52322
7,44766
8,39704
9,34463
10,30489
11,27101
12,23916
13,20938
14,17631
15,15215
16,13607
17,11910
18,10313
19,9411
20,8063
21,7392
22,6861
23,6195
24,5588
25,4785
26,4093
27,3580
28,2985
29,2711
30,2349
31,2032
32,1704
33,1522
34,1293
35,1099
36,959
37,839
38,750
39,645
40,622
41,499
42,401
43,378
44,285
45,227
46,207
47,147
48,119
49,95
50,73
51,62
52,55
53,43
54,37
55,20
56,22
57,14
58,8
59,9
60,7
61,7
62,1
63,5
64,1
65,0
66,0
67,1
68,0
69,0
70,0
71,1
72,0
73,0
74,0
75,1
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
